PR #58 入れ込み測定レポート
実行時刻: 2026-08-03 22:25:55
リポジトリ: CHかんばんセット

  !! 入れ込み: 便07の窓[00:00-06:31]に 便08 山2が00:06に開始
日付=20260718 | セッション=2026-07-20 20:02:42 | 日野便=['07', '08'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便07の窓[00:00-06:31]に 便08 山7が00:47に開始
  !! 入れ込み: 便07の窓[00:00-06:31]に 便08 山8が00:53に開始
日付=20260720 | セッション=2026-07-20 22:03:38 | 日野便=['06', '07'] | 山数=14 | メイン=14 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便06の窓[00:00-07:45]に 便07 山2が00:13に開始
  !! 入れ込み: 便06の窓[00:00-07:45]に 便07 山12が01:40に開始
  !! 入れ込み: 便06の窓[00:00-07:45]に 便07 山13が01:49に開始
  !! 入れ込み: 便06の窓[00:00-07:45]に 便07 山14が01:54に開始
  !! 入れ込み: 便07の窓[00:13-02:00]に 便06 山9が01:17に開始
  !! 入れ込み: 便07の窓[00:13-02:00]に 便06 山10が01:25に開始
  !! 入れ込み: 便07の窓[00:13-02:00]に 便06 山11が01:35に開始
日付=20260720 | セッション=2026-07-20 22:55:20 | 日野便=['11', '12'] | 山数=15 | メイン=15 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260720 | セッション=2026-07-20 22:56:31 | 日野便=['13', '14'] | 山数=8 | メイン=7 | リリーフ=1 | あふれ=0 | 入れ込み=4
  !! 入れ込み: 便13の窓[10:04-12:32]に 便14 山5が12:32に開始
  !! 入れ込み: 便13の窓[10:04-12:32]に 便14 山7が12:14に開始
  !! 入れ込み: 便14の窓[12:14-13:41]に 便13 山2が12:22に開始
  !! 入れ込み: 便14の窓[12:14-13:41]に 便13 山7が12:14に開始
日付=20260721 | セッション=2026-07-21 01:39:17 | 日野便=['07', '08'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=5
  !! 入れ込み: 便07の窓[00:00-06:45]に 便08 山4が00:23に開始
  !! 入れ込み: 便07の窓[00:00-06:45]に 便08 山5が00:32に開始
  !! 入れ込み: 便07の窓[00:00-06:45]に 便08 山6が00:40に開始
  !! 入れ込み: 便07の窓[00:00-06:45]に 便08 山7が00:49に開始
  !! 入れ込み: 便07の窓[00:00-06:45]に 便08 山8が00:55に開始
日付=20260721 | セッション=2026-07-21 17:17:21 | 日野便=['07', '08'] | 山数=10 | メイン=10 | リリーフ=0 | あふれ=0 | 入れ込み=1
  !! 入れ込み: 便07の窓[00:19-00:42]に 便08 山6が00:42に開始
日付=20260721 | セッション=2026-07-21 20:31:16 | 日野便=['06', '07', '08'] | 山数=13 | メイン=13 | リリーフ=0 | あふれ=0 | 入れ込み=8
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山6が00:38に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山7が00:48に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便07 山8が00:54に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便08 山9が01:04に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便08 山10が01:10に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便08 山11が01:21に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便08 山12が01:27に開始
  !! 入れ込み: 便06の窓[00:00-06:31]に 便08 山13が01:36に開始
日付=20260722 | セッション=2026-07-21 23:00:42 | 日野便=['07', '08'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山5が00:34に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山6が00:41に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山7が00:50に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山8が00:58に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山9が01:08に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山10が01:15に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山11が01:26に開始
日付=20260722 | セッション=2026-07-21 23:05:08 | 日野便=['07', '08'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=7
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山5が00:34に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山6が00:41に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山7が00:50に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山8が00:58に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山9が01:08に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山10が01:15に開始
  !! 入れ込み: 便07の窓[00:00-06:32]に 便08 山11が01:26に開始
日付=20260720 | セッション=2026-07-21 23:41:17 | 日野便=['09', '10'] | 山数=12 | メイン=12 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260721 | セッション=2026-07-21 23:54:25 | 日野便=['09', '10'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便09の窓[08:01-09:06]に 便10 山7が08:23に開始
  !! 入れ込み: 便10の窓[07:00-08:29]に 便09 山5が08:01に開始
日付=20260721 | セッション=2026-07-22 00:01:08 | 日野便=['09', '10'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便09の窓[08:00-09:15]に 便10 山7が09:01に開始
  !! 入れ込み: 便10の窓[07:00-09:07]に 便09 山5が08:00に開始
日付=20260721 | セッション=2026-07-22 00:25:00 | 日野便=['09', '10'] | 山数=11 | メイン=11 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便09の窓[08:00-09:15]に 便10 山7が09:01に開始
  !! 入れ込み: 便10の窓[07:00-09:07]に 便09 山5が08:00に開始
日付=20260721 | セッション=2026-07-22 00:26:20 | 日野便=['11', '12'] | 山数=8 | メイン=8 | リリーフ=0 | あふれ=0 | 入れ込み=2
  !! 入れ込み: 便11の窓[07:00-09:30]に 便12 山8が09:12に開始
  !! 入れ込み: 便12の窓[09:12-09:19]に 便11 山2が09:19に開始
日付=20260721 | セッション=2026-07-22 00:27:35 | 日野便=['13', '14'] | 山数=12 | メイン=11 | リリーフ=1 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便13の窓[10:04-12:26]に 便14 山7が12:18に開始
  !! 入れ込み: 便14の窓[12:18-12:48]に 便13 山7が12:18に開始
  !! 入れ込み: 便14の窓[12:18-12:48]に 便13 山8が12:26に開始
日付=20260721 | セッション=2026-07-22 00:36:55 | 日野便=['09', '10', '11'] | 山数=15 | メイン=15 | リリーフ=0 | あふれ=0 | 入れ込み=0
日付=20260721 | セッション=2026-07-22 00:41:13 | 日野便=['13', '14'] | 山数=12 | メイン=11 | リリーフ=1 | あふれ=0 | 入れ込み=3
  !! 入れ込み: 便13の窓[10:04-12:26]に 便14 山7が12:18に開始
  !! 入れ込み: 便14の窓[12:18-12:48]に 便13 山7が12:18に開始
  !! 入れ込み: 便14の窓[12:18-12:48]に 便13 山8が12:26に開始
日付=20260721 | セッション=2026-07-22 00:47:19 | 日野便=['12', '13', '14'] | 山数=16 | メイン=12 | リリーフ=4 | あふれ=0 | 入れ込み=1
  !! 入れ込み: 便13の窓[10:04-12:37]に 便12 山9が10:19に開始
